수출국 및 수입국(백만 톤),캐나다,멕시코,미국,중남미,유럽,러시아,CIS 지역,중동,아프리카,남태평양 제도,중국,인도,일본,싱가포르,기타 아시아 지역
 캐나다 ,,,203.1,,5.9,,,,,,9.2,0.4,,,0.8
 멕시코 ,0.1,,23.2,,10.5,,,,,,1,3.1,0.1,,3.8
 미국 ,17.7,,,9,95.8,,,,2.8,0.7,9.6,7.9,2.8,11.3,40.5
 중남미,0.9,,53.6,,47.2,,,1.6,2.6,0.1,52.6,8.9,1.7,3.4,11.5
 유럽 ,,,3.7,0.6,,,,,0.1,,4.1,2.3,,0.5,1.2
 러시아 ,,,,0.1,29.6,,16.1,0.5,0.4,,108.5,87.5,,,0.4
 CIS 지역,,,1.9,0.3,80.9,,,1.7,0.5,0.1,2,,,,3.1
 이라크 ,,,9.9,,38.2,,,0.5,0.1,,63.8,50.1,,1.5,15.5
 쿠웨이트 ,,,1.1,,0.3,,,2.8,,,16,6,8.1,,25.8
 사우디 ,2.5,,13.6,3.2,38.6,,,12.5,2.6,,78.6,31,46.4,3.5,87.9
 UAE ,,,1.9,,1.7,,,,0.1,0.5,35.5,21.7,49.5,12.6,59.2
 기타 중동 지역 ,,,,,0.6,,,8.9,,,121.5,3.4,5.3,5.2,18.7
 북아프리카 ,,,4.8,1.1,57.8,,,2,0.1,0.4,1.8,1.8,,0.1,3.4
 서아프리카 ,3.9,,12.2,6.4,55.7,,,2.6,5.9,0.3,46.6,13.2,,1.6,16.4
 기타 아프리카 지역 ,,,,,0.5,,,,,,0.5,,,0.3,0.6
 남태평양 제도,,,,,,,,0.6,,,0.6,,0.4,1.6,5.9
 중국 ,,,,,,,,,,,,,,0.1,0.8
 인도 ,,,,,,,,0.1,,,,,,,
 일본 ,,,,,,,,,,,,,,,0.1
 싱가포르 ,,,,,,,,,,,,,,,
 기타 아시아 지역,,,,,0.1,,,,,5.7,2.1,1.4,0.6,1.8,
