"시점",설비투자전망BSI 5),설비투자전망BSI 5)
"시점",대 기 업,중소기업
"2003.02",99,98
"2003.03",95,95
"2003.04",87,91
"2003.05",91,91
"2003.06",87,90
"2003.07",85,92
"2003.08",91,88
"2003.09",91,91
"2003.10",90,92
"2003.11",89,92
"2003.12",93,93
"2004.01",98,97
"2004.02",97,96
"2004.03",95,96
"2004.04",96,97
"2004.05",99,95
"2004.06",97,94
"2004.07",96,95
"2004.08",96,97
"2004.09",98,94
"2004.10",98,95
"2004.11",93,95
"2004.12",93,95
"2005.01",92,95
"2005.02",97,92
"2005.03",98,97
"2005.04",99,99
"2005.05",98,98
"2005.06",91,100
"2005.07",99,96
"2005.08",97,97
"2005.09",99,98
"2005.10",97,100
"2005.11",100,99
"2005.12",99,101
"2006.01",99,101
"2006.02",100,100
"2006.03",100,100
"2006.04",98,102
"2006.05",100,102
"2006.06",96,100
"2006.07",98,100
"2006.08",98,99
"2006.09",98,99
"2006.10",98,99
"2006.11",96,98
"2006.12",96,99
"2007.01",97,100
"2007.02",97,98
"2007.03",96,98
"2007.04",95,99
"2007.05",101,101
"2007.06",102,101
"2007.07",102,100
"2007.08",99,101
"2007.09",98,101
"2007.10",102,100
"2007.11",98,101
"2007.12",99,101
"2008.01",103,100
"2008.02",97,101
"2008.03",98,103
"2008.04",99,102
"2008.05",100,104
"2008.06",102,104
"2008.07",99,102
"2008.08",97,99
"2008.09",97,101
"2008.10",96,96
"2008.11",88,96
"2008.12",81,90
"2009.01",71,83
"2009.02",74,86
"2009.03",71,87
"2009.04",77,89
"2009.05",81,92
"2009.06",85,94
"2009.07",90,95
"2009.08",97,96
"2009.09",90,97
"2009.10",95,101
"2009.11",89,99
"2009.12",93,98
"2010.01",101,101
"2010.02",100,103
"2010.03",101,104
"2010.04",103,104
"2010.05",102,105
"2010.06",106,106
"2010.07",106,105
"2010.08",104,106
"2010.09",107,106
"2010.10",107,104
"2010.11",103,103
"2010.12",104,104
"2011.01",107,103
"2011.02",104,103
"2011.03",107,105
"2011.04",100,104
"2011.05",105,104
"2011.06",101,104
"2011.07",104,104
"2011.08",103,105
"2011.09",99,104
"2011.10",99,100
"2011.11",95,99
"2011.12",95,99
"2012.01",94,99
"2012.02",98,98
"2012.03",99,99
"2012.04",97,100
"2012.05",101,98
"2012.06",96,100
"2012.07",95,99
"2012.08",90,99
"2012.09",90,97
"2012.10",88,98
"2012.11",90,93
"2012.12",86,92
"2013.01",88,93
"2013.02",94,96
"2013.03",93,97
"2013.04",91,100
"2013.05",93,100
"2013.06",95,96
"2013.07",93,99
"2013.08",92,93
"2013.09",92,97
"2013.10",92,98
"2013.11",94,97
"2013.12",93,99
"2014.01",93,103
"2014.02",97,99
"2014.03",95,99
"2014.04",95,101
"2014.05",96,100
"2014.06",97,96
"2014.07",97,96
"2014.08",94,96
"2014.09",94,97
"2014.10",94,96
"2014.11",93,98
"2014.12",91,98
"2015.01",90,99
"2015.02",93,96
"2015.03",97,99
"2015.04",98,97
"2015.05",97,95
"2015.06",93,93
"2015.07",93,90
"2015.08",92,93
"2015.09",93,94
"2015.10",94,92
"2015.11",94,93
"2015.12",92,92
"2016.01",92,89
"2016.02",94,91
"2016.03",95,93
"2016.04",95,91
"2016.05",94,91
"2016.06",94,93
"2016.07",94,88
"2016.08",96,91
"2016.09",97,94
"2016.10",95,93
"2016.11",95,93
"2016.12",96,94
"2017.01",95,94
"2017.02",95,92
"2017.03",96,95
"2017.04",98,98
"2017.05",98,97
"2017.06",98,95
"2017.07",97,94
"2017.08",96,95
"2017.09",96,96
"2017.10",93,93
"2017.11",99,95
"2017.12",96,96
"2018.01",96,96
"2018.02",99,92
"2018.03",98,94
"2018.04",96,93
"2018.05",93,96
"2018.06",96,95
"2018.07",98,95
"2018.08",94,90
"2018.09",94,93
"2018.10",96,91
"2018.11",94,90
"2018.12",94,91
"2019.01",94,92
"2019.02",95,92
"2019.03",98,94
"2019.04",96,94
"2019.05",97,92
"2019.06",96,94
"2019.07",97,92
"2019.08",96,92
"2019.09",96,89
"2019.10",95,91
"2019.11",96,92
"2019.12",96,90
"2020.01",97,91
"2020.02",96,91
"2020.03",93,91
"2020.04",89,84
"2020.05",80,79
"2020.06",82,78
"2020.07",84,83
"2020.08",82,84
"2020.09",82,83
"2020.10",90,86
"2020.11",90,88
"2020.12",93,93
"2021.01",90,90
"2021.02",93,95
"2021.03",95,93
"2021.04",101,95
"2021.05",101,97
"2021.06",102,94
"2021.07",102,98
"2021.08",100,95
"2021.09",100,96
"2021.10",104,93
"2021.11",102,94
"2021.12",100,95
"2022.01",103,95
"2022.02",102,97
"2022.03",104,97
"2022.04",100,95
"2022.05",101,95
"2022.06",103,95
"2022.07",100,95
"2022.08",97,92
"2022.09",96,93
"2022.10",95,96
"2022.11",91,94
"2022.12",91,92
"2023.01",92,89
"2023.02",90,90
"2023.03",89,87
"2023.04",88,92
"2023.05",89,92
"2023.06",87,90
"2023.07",88,92
"2023.08",89,90
"2023.09",82,90
"2023.10",89,87
"2023.11",93,92
"2023.12",92,89
"2024.01",93,87
"2024.02",94,91
"2024.03",96,91
"2024.04",94,93
"2024.05",98,92
"2024.06",96,91
"2024.07",96,92
"2024.08",96,90
"2024.09",93,92
"2024.10",94,93
"2024.11",92,90
"2024.12",90,90
"2025.01",90,87
"2025.02",91,87
"2025.03",93,87
"2025.04",94,86
"2025.05",94,86
"2025.06",97,86
"2025.07",95,87
"2025.08",91,85
